input_text,target_text,label,label_id
Close this application.,"{""name"": ""kill_app"", ""arguments"": {}}",kill_app,6
"I need 3 more Amul Ice Cream, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Amul Ice Cream"", ""quantity"": 3}}",inc_quantity,4
Process a payment of 349 with Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 349, ""payment_method"": ""credit_card""}}",make_payment,8
Can you reduce the quantity of Maggi Masala Noodles by 9?,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Maggi Masala Noodles"", ""quantity"": 9}}",dec_quantity,5
Adjust Godrej Cinthol Deodorant count and increase it by 1.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Godrej Cinthol Deodorant"", ""quantity"": 1}}",inc_quantity,4
Bump up Colgate Toothpaste by 5.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Colgate Toothpaste"", ""quantity"": 5}}",dec_quantity,5
Reduce 4 more for Heinz Tomato Ketchup.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Heinz Tomato Ketchup"", ""quantity"": 4}}",dec_quantity,5
Process a payment of 394 with Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 394, ""payment_method"": ""credit_card""}}",make_payment,8
Drop Nivea Cream from my shopping list.,"{""name"": ""delete_from_cart"", ""arguments"": {""item"": ""Nivea Cream""}}",delete_from_cart,10
Can you increase the quantity of Bourbon Biscuits by 4?,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Bourbon Biscuits"", ""quantity"": 4}}",inc_quantity,4
Can you put 1 of Amul Milk in my basket?,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Amul Milk"", ""quantity"": 1}}",add_to_cart,0
Hit the cancel button.,"{""name"": ""click_button"", ""arguments"": {""button_name"": ""cancel""}}",click_button,7
"I need 1 more Pepsi, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Pepsi"", ""quantity"": 1}}",inc_quantity,4
I want to pay 458 through Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 458, ""payment_method"": ""debit_card""}}",make_payment,8
Adjust Nivea Cream count and reduce it by 1.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Nivea Cream"", ""quantity"": 1}}",dec_quantity,5
Bump up Colgate Toothpaste by 10.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Colgate Toothpaste"", ""quantity"": 10}}",inc_quantity,4
Increase 9 more for Nivea Cream.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Nivea Cream"", ""quantity"": 9}}",inc_quantity,4
Bump up Amul Ice Cream by 4.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Amul Ice Cream"", ""quantity"": 4}}",inc_quantity,4
"I don’t need Nivea Cream anymore, delete it.","{""name"": ""delete_from_cart"", ""arguments"": {""item"": ""Nivea Cream""}}",delete_from_cart,10
Increase 7 more for Amul Ice Cream.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Amul Ice Cream"", ""quantity"": 7}}",inc_quantity,4
Increase 7 more for Vicks VapoRub.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 7}}",inc_quantity,4
Can you reduce the quantity of Heinz Tomato Ketchup by 1?,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Heinz Tomato Ketchup"", ""quantity"": 1}}",dec_quantity,5
Adjust Vicks VapoRub count and increase it by 1.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 1}}",inc_quantity,4
Process a payment of 547 with Debit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 547, ""payment_method"": ""debit_card""}}",make_payment,8
"I need 1 more Colgate Toothpaste, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Colgate Toothpaste"", ""quantity"": 1}}",inc_quantity,4
Bump up Godrej Cinthol Deodorant by 3.,"{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Godrej Cinthol Deodorant"", ""quantity"": 3}}",inc_quantity,4
Adjust Close-Up Toothpaste count and reduce it by 2.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 2}}",dec_quantity,5
Bump up Mother Dairy Butter by 1.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Mother Dairy Butter"", ""quantity"": 1}}",dec_quantity,5
Charge 370 to my Cash on Delivery.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 370, ""payment_method"": ""cod""}}",make_payment,8
Use Net Banking to settle 642.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 642, ""payment_method"": ""net_banking""}}",make_payment,8
I need to search for energy drink.,"{""name"": ""search"", ""arguments"": {""query"": ""energy drink""}}",search,3
Use Debit Card to settle 256.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 256, ""payment_method"": ""debit_card""}}",make_payment,8
Charge 521 to my UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 521, ""payment_method"": ""upi""}}",make_payment,8
Reduce 5 more for Close-Up Toothpaste.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Close-Up Toothpaste"", ""quantity"": 5}}",dec_quantity,5
Throw in 1 of Vicks VapoRub to my shopping list.,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 1}}",add_to_cart,0
Can you reduce the quantity of Britannia Good Day Cookies by 7?,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Britannia Good Day Cookies"", ""quantity"": 7}}",dec_quantity,5
"I'd like to buy 5 Colgate Toothpaste, add it to the cart.","{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Colgate Toothpaste"", ""quantity"": 5}}",add_to_cart,0
"I need 1 more Vicks VapoRub, please reduce the quantity.","{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Vicks VapoRub"", ""quantity"": 1}}",dec_quantity,5
Can you reduce the quantity of Emami Navratna Oil by 9?,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Emami Navratna Oil"", ""quantity"": 9}}",dec_quantity,5
"I'd like to buy 4 Bourbon Biscuits, add it to the cart.","{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Bourbon Biscuits"", ""quantity"": 4}}",add_to_cart,0
I want to pay 905 through Net Banking.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 905, ""payment_method"": ""net_banking""}}",make_payment,8
Reduce 6 more for Emami Navratna Oil.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Emami Navratna Oil"", ""quantity"": 6}}",dec_quantity,5
Adjust Red Bull count and reduce it by 2.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Red Bull"", ""quantity"": 2}}",dec_quantity,5
"I need 10 more Amul Ice Cream, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Amul Ice Cream"", ""quantity"": 10}}",inc_quantity,4
Process a payment of 426 with Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 426, ""payment_method"": ""credit_card""}}",make_payment,8
Bump up Bourbon Biscuits by 5.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""Bourbon Biscuits"", ""quantity"": 5}}",dec_quantity,5
I want to pay 856 through UPI.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 856, ""payment_method"": ""upi""}}",make_payment,8
Complete the payment of 402 using Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 402, ""payment_method"": ""credit_card""}}",make_payment,8
"I need 1 more Maggi Masala Noodles, please increase the quantity.","{""name"": ""inc_quantity"", ""arguments"": {""item"": ""Maggi Masala Noodles"", ""quantity"": 1}}",inc_quantity,4
Reduce 8 more for 5 Star.,"{""name"": ""dec_quantity"", ""arguments"": {""item"": ""5 Star"", ""quantity"": 8}}",dec_quantity,5
Use Debit Card to settle 355.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 355, ""payment_method"": ""debit_card""}}",make_payment,8
Process a payment of 559 with Credit Card.,"{""name"": ""make_payment"", ""arguments"": {""amount"": 559, ""payment_method"": ""credit_card""}}",make_payment,8
Look up energy drink for me.,"{""name"": ""search"", ""arguments"": {""query"": ""energy drink""}}",search,3
Can you put 4 of Tide Washing Powder in my basket?,"{""name"": ""add_to_cart"", ""arguments"": {""item"": ""Tide Washing Powder"", ""quantity"": 4}}",add_to_cart,0
